## GABRIEL DOMINGUEZ PHD THESIS (SUBMITTED TO MACQUARIE UNVERSITY 2017)
## SHELL TRACE ELEMENT RATIOS
Dist_mm,MgCaRatio,BaCaRatio,SrCaRatio
1.90405,0.471450146,0.000682103,3.649331159
1.92074,0.715666699,0.002462703,4.148646457
1.93746,0.699727335,0.001902896,3.221445643
1.95415,0.571052235,0.001188205,4.002139649
1.97084,0.633078466,0.004566211,3.715061381
1.987555,0.777838883,-0.000185366,4.504112558
2.00425,0.789383239,0.001542887,3.533415102
2.02094,1.07501055,0.00293506,4.386873268
2.037655,1.064434841,0.002278807,4.933452359
2.05435,0.949792747,0.003865062,4.474141745
2.07104,0.606250578,0.007344888,4.269491451
2.087755,1.04081053,0.010137827,4.467754627
2.104445,0.768456356,0.019385179,4.631209723
2.12114,0.648249362,0.039267381,5.146397952
2.137855,0.568959859,0.033051278,3.939560918
2.154545,0.486635016,0.020381223,4.067172784
2.171235,0.544154657,0.017126663,4.066222105
2.188005,0.607504263,0.020466592,5.580765063
2.204695,0.469717375,0.006906513,3.771714376
2.221385,0.512440062,0.007184705,4.905261784
2.238105,0.48824036,0.005567315,4.703354162
2.254795,0.392006603,0.003365233,4.06022148
2.271485,0.322956273,0.002518765,4.744926819
2.288205,0.322147091,0.0020298,3.176387792
2.304895,0.373412146,0.002486508,4.10581627
2.321585,0.51861975,0.004545426,5.808322763
2.338305,0.352130433,0.001286221,3.096833694
2.354995,0.311448628,0.001795008,3.730599339
2.371685,0.402731487,0.005811759,4.419139484
2.3884,0.302537634,0.003048468,3.758970191
2.405095,0.419850692,0.001262452,4.406625615
2.42181,0.418158272,0.003381363,3.978507559
2.4385,0.481922567,0.003682097,3.816226248
2.455195,0.320290767,0.004117389,3.816266568
2.47191,0.388256711,0.002148909,3.541906374
2.4886,0.281067351,0.002781633,3.521699003
2.50529,0.457755913,0.007141475,4.739478632
2.52201,0.31796712,0.004835604,3.669946246
2.5387,0.33601907,0.003568774,3.660527623
2.55539,0.475939283,0.003690243,3.768590913
2.57211,0.447967408,0.008913731,4.47336366
2.58885,0.381400185,0.003414537,3.857206568
2.60554,0.35408837,0.003561514,4.175296077
2.62226,0.398718356,0.005152584,3.893220526
2.63895,0.295986082,0.004481587,3.490662795
2.65564,0.476860347,0.004277872,4.121856791
2.672355,0.447017167,0.005858566,3.249643467
2.68905,0.407711932,0.00171858,3.266135012
2.70574,0.36660723,0.005844678,4.098307855
2.722455,0.3591206,0.001088333,3.468624186
2.73915,0.4431082,0.003484013,4.035761899
2.75584,0.362316894,0.002220851,4.098467175
2.772555,0.448519825,0.007162686,4.007245895
2.789245,0.257860656,0.003977346,3.393715757
2.80594,0.419062618,0.00174757,4.28546605
2.822655,0.391660739,0.003895688,3.857565185
2.839345,0.374569861,0.005609802,4.24452743
2.856035,0.462761263,0.003671085,4.283081054
2.872755,0.26389134,0.002708215,3.596715882
2.889445,0.421038047,0.003589905,4.430505593
2.906135,0.500567914,0.006344134,4.875808957
2.922855,0.479778071,0.003005267,3.871720715
2.939545,0.265638211,0.003865394,3.986356058
2.956235,0.367492358,0.00281104,3.92037153
2.97295,0.30294247,0.005789817,3.802123427
2.989695,0.328564243,0.001487153,3.233712551
3.006385,0.39006893,0.002707536,4.479038039
3.023105,0.311993867,0.00300728,3.768743252
3.039795,0.419193332,0.001490133,4.09111643
3.056485,0.473320747,0.004297115,4.534940632
3.0732,0.311242981,0.004733344,4.053699278
3.089895,0.464013034,0.002962055,4.441239252
3.10661,0.401281915,0.003247134,4.708640815
3.1233,0.467863073,0.004249224,5.261472527
3.139995,0.447621465,0.004257315,4.70308419
3.15671,0.566999249,0.005117408,5.142032639
3.1734,0.435182734,0.004225114,4.637613564
3.19009,0.432067719,0.005659504,3.805020866
3.20681,0.492310812,0.00984582,4.742370929
3.2235,0.574680631,0.00387212,3.965969286
3.24019,0.683110112,0.007807407,4.721749719
3.25691,0.51407265,0.003068493,4.205007849
3.2736,0.458014013,0.006950036,3.919575205
3.29029,0.604851614,0.007600148,3.726615176
3.307005,0.651829175,0.00747951,4.15968127
3.3237,0.482812345,0.008157377,4.463554666
3.34039,0.795913343,0.012179656,4.40531892
3.357105,0.765128973,0.006797674,4.39539619
3.373795,0.830857848,0.0043162,4.848869646
3.39054,0.98046427,0.005148395,4.555661727
3.407255,0.594985928,0.007298353,4.257963327
3.42395,0.609181234,0.005522498,3.845176122
3.44064,1.159166433,0.010046299,5.952963364
3.457355,0.896414357,0.011076277,4.94344479
3.474045,0.800077486,0.006104227,3.615021126
3.49074,0.815782834,0.009438374,5.030140584
3.507455,0.784024271,0.012382309,4.899200624
3.524145,1.457587769,0.012998437,6.27590464
3.540835,0.930866579,0.008353392,4.049264153
3.557555,0.684020587,0.009734187,4.164346593
3.574245,0.918220003,0.010210764,4.134621863
3.590935,0.833906431,0.007177105,4.035427343
3.607655,0.98452318,0.011735939,4.687950664
3.624345,1.067549274,0.012234822,5.893183632
3.641035,1.349719058,0.016915719,6.067129043
3.65775,0.856080827,0.014025731,5.186659372
3.674445,1.083001193,0.016694323,5.001748579
3.69116,0.95079162,0.013267803,4.990890322
3.70785,0.971742611,0.010078565,5.290237221
3.724545,0.953984699,0.008673557,4.456567841
3.74126,1.060059531,0.007671517,4.894040032
3.75795,0.9552503,0.009096996,4.572682431
3.774695,1.037360638,0.011350066,3.956980682
3.79141,0.938285631,0.012730048,4.791377343
3.8081,1.238062726,0.021350655,5.761515591
3.82479,1.14606536,0.016029793,5.45470664
3.84151,0.939007154,0.01087731,7.482399587
3.8582,1.146726683,0.015665695,6.476926161
3.87489,1.1982135,0.011657238,3.829069694
3.89161,1.10717173,0.012137731,6.392511899
3.9083,0.876041499,0.011087379,5.5378863
3.92499,0.891001896,0.01542699,4.753435667
3.94171,0.958263418,0.012519187,6.904899946
3.9584,1.337767965,0.009430726,5.369264785
3.97509,1.380332668,0.008338855,6.887540737
3.991805,1.532594975,0.01775865,9.619656844
4.0085,0.841021225,0.009262189,5.155357122
4.02519,0.854944531,0.013370931,6.783099027
4.041905,0.906986058,0.004257433,3.80472968
4.0586,0.911744053,0.012003363,5.156947558
4.07529,0.849528714,0.006938984,4.581078336
4.092005,0.91156955,0.009845849,5.59378365
4.108695,1.13468141,0.011942606,5.913890436
4.12539,1.333682411,0.014479049,5.057429653
4.142105,0.929701086,0.011545991,6.105138756
4.158795,0.711984353,0.011870736,3.646588124
4.17554,0.874791405,0.011567476,4.280885254
4.192255,0.832336613,0.013776785,5.069109418
4.208945,1.192777799,0.014282826,8.954090274
4.225635,1.320229613,0.009111353,6.75225891
4.242355,0.757922231,0.01431108,5.494431392
4.259045,1.214286385,0.015879256,4.931483463
4.275735,1.143707081,0.013249685,6.896608143
4.292455,1.091622019,0.024532838,5.225492435
4.309145,0.98833498,0.010744699,4.724114043
4.325835,0.908236997,0.010670471,5.347126981
4.34255,1.424587579,0.013352376,5.551153483
4.359245,0.840657567,0.010084501,4.323075296
4.37596,1.353459587,0.018172959,5.540689654
4.39265,1.261016441,0.016059415,5.222850608
4.409345,1.560580091,0.012307148,4.911331407
4.42606,1.06660283,0.014874532,4.794570169
4.44275,0.967343547,0.013023663,4.45505484
4.45944,1.591223531,0.011984296,5.47678044
4.47616,1.139476679,0.015273851,6.152930812
4.49285,0.884380346,0.012463912,3.987414755
4.50954,1.057145467,0.008495208,3.659354046
4.52626,0.917601322,0.013808824,4.61471258
4.54295,1.210510232,0.009156456,4.58075485
4.55964,1.011038073,0.00872928,3.742999807
4.57641,1.499700946,0.011276302,4.70259904
4.5931,1.449697926,0.012071654,4.964723563
4.60979,1.020922173,0.0086937,3.695268268
4.62651,1.234754636,0.009601987,4.915361822
4.6432,0.731042883,0.010653139,3.923705407
4.65989,0.876117292,0.006905255,4.281454995
4.676605,0.842269225,0.009081957,5.1200382
4.6933,0.856510075,0.009039163,3.634530732
4.70999,0.719154764,0.004793825,4.326302306
4.726705,0.922446261,0.01450595,4.850373649
4.7434,0.671199335,0.007601593,3.645133544
4.76009,0.970936983,0.0068817,5.121065602
4.776805,0.930669493,0.008836451,4.435520301
4.793495,1.203814357,0.011512128,4.996871064
4.81019,0.90270671,0.009566735,4.552380216
4.826905,1.132287739,0.008282321,4.522870378
4.843595,0.913437403,0.010750289,4.289107289
4.860285,0.745498705,0.006225495,3.759997116
4.877005,1.239303675,0.011242189,5.477336137
4.893695,1.433799421,0.01173311,5.946652658
4.910385,0.962090798,0.00661117,4.949211555
4.927105,1.238367686,0.008595241,5.892278238
4.943795,1.105989489,0.008544335,6.096404058
4.960485,0.824926896,0.011530145,4.061038505
4.977255,1.196353007,0.010146128,5.502363529
4.993945,1.70242174,0.007233278,4.900243355
5.010635,1.269374447,0.007231875,6.184227906
5.02735,0.972965367,0.006771506,6.202306464
5.044045,0.904649853,0.008667855,3.989968011
5.06076,1.152443058,0.017071964,5.918397106
5.07745,1.422932845,0.016103436,7.818252291
5.094145,1.252679861,0.013622724,5.906085282
5.11086,1.296953155,0.010755512,7.827181658
5.12755,0.854704602,0.006869683,6.887131928
5.14424,1.297729539,0.016199982,5.667260402
5.16096,1.207026636,0.008366434,5.260185829
5.17765,1.144428991,0.014433718,5.731136642
5.19434,0.94889888,0.008430658,7.904436272
5.21106,0.979819788,0.009543171,6.813945076
5.22775,1.056405588,0.009368503,6.990517338
5.24444,1.275818194,0.013356999,5.775827303
5.261155,1.013640754,0.010670663,3.99698459
5.27785,0.830169002,0.008927775,4.2142815
5.29454,0.862834242,0.006934563,4.893926806
5.311255,0.994151007,0.008123316,6.684683212
5.327945,1.133856015,0.009979071,8.712022789
5.34464,0.754794773,0.00912065,3.776727969
5.361355,0.853120878,0.010410921,5.764048393
5.3781,0.704514444,0.006512082,5.14926493
5.39479,0.716452284,0.005891757,4.632822604
5.411505,0.594820068,0.009295732,4.214294023
5.428195,0.655795321,0.01227327,4.41829975
5.44489,0.878246838,0.012306985,6.143864454
5.461605,0.656863003,0.013287336,4.014668853
5.478295,0.9574107,0.013989609,5.450702634
5.494985,1.108562878,0.021471118,8.359093765
5.511705,0.937257235,0.016966341,5.453996677
5.528395,1.048165963,0.017542478,5.22345794
5.545085,0.916019499,0.014184027,5.338311185
5.561805,0.879080252,0.010452964,4.897993148
5.578495,0.94909307,0.018866683,6.279081853
5.595185,1.254586524,0.016234255,5.082600553
5.611905,0.731216393,0.012942099,4.679976806
5.628595,0.717430246,0.008716935,4.221227275
5.645285,0.961713396,0.014521203,4.601721972
5.662,1.358597914,0.013096862,4.972008399
5.678695,0.813072086,0.01276067,3.756011649
5.69541,0.911003962,0.010819044,4.365383788
5.7121,1.174885969,0.012691495,5.303495067
5.728795,0.929290097,0.011320133,4.898885672
5.74551,0.832543112,0.016902891,4.911626582
5.7622,0.915264832,0.011115284,4.065580031
5.778945,1.061634196,0.011753258,4.919765308
5.79566,0.795540905,0.010286397,4.423107037
5.81235,1.102960995,0.013197307,5.097303231
5.82904,0.958772368,0.014530598,5.289571451
5.84576,1.037687176,0.010113957,5.101519662
5.86245,0.913846406,0.009508954,4.780095046
5.87914,1.065594989,0.010831867,4.151502593
5.89586,0.738144781,0.008283913,2.920341853
5.91255,0.885759469,0.011628143,4.53169002
5.92924,1.030477668,0.008215955,4.772804683
5.945955,0.808028764,0.009243688,4.00557706
5.96265,0.80922604,0.009519803,4.292166197
5.97934,0.756166489,0.008764812,4.996022408
5.996055,0.897797232,0.010485435,4.378146965
6.01275,0.637277776,0.008039318,3.622854501
6.02944,0.66625981,0.005786212,3.430969739
6.046155,0.582578208,0.005972107,3.424605413
6.062845,0.643409974,0.010801984,4.045211423
6.07954,0.624919586,0.005725785,4.722766159
6.096255,0.435582257,0.001365215,3.528572786
6.112945,0.474524652,0.005338872,5.387086724
6.129635,0.369548369,0.001269785,4.708364646
6.146355,0.437657362,0.0037938,3.51504095
6.163045,0.372919962,0.00354498,2.886720105
6.179785,0.552515224,0.004021429,3.913238299
6.196505,0.682749299,0.004797127,5.15974917
6.213195,0.635173138,0.006868753,4.232491119
6.229885,0.684845619,0.009338131,3.370784124
6.246605,0.798716727,0.00914125,4.72601747
6.263295,1.011468469,0.008793793,4.767700592
6.279985,0.703544864,0.00549724,4.415016138
6.296705,0.663140301,0.005090631,4.69467174
6.313395,0.505608885,0.007968973,4.36283122
6.330085,0.555249356,0.003263465,5.135265311
6.3468,0.727740735,0.00542456,4.580745382
6.363495,0.295356553,0.008329873,3.555754648
6.38021,0.479248965,0.004250073,4.817379065
6.3969,0.318975323,0.003700917,3.522722609
6.413595,0.502332272,0.003480799,4.009628499
6.43031,0.502184606,0.003556316,3.58979227
6.447,0.441458693,0.004648891,5.143276036
6.46369,0.383144346,0.00158532,3.809333377
6.48041,0.398249778,0.003614638,3.00035556
6.4971,0.742248109,0.003975539,4.882052899
6.51379,0.367268931,0.007572908,3.126798894
6.53051,0.358119203,0.003803494,3.765849904
6.5472,0.538543005,0.006400449,4.614476537
6.56389,0.376786333,0.002328101,2.856941207
6.58066,0.40451008,0.003208978,3.233458401
6.59735,0.324702919,0.002870694,3.914603855
6.61404,0.315305236,0.002762308,3.429850493
6.630755,0.29208596,0.001180825,2.320164853
6.64745,0.316437293,0.002675108,3.178027663
6.66414,0.266346025,0.001575396,2.696507528
6.680855,0.36162853,0.001833546,2.930780375
6.69755,0.235515159,0.000607949,3.041788077
6.71424,0.269054336,0.000709761,3.561994555
6.730955,0.258686863,0.00134295,2.752230768
6.747645,0.347278371,0.00234139,4.51529551
6.76434,0.251044495,0.002601491,3.700602504
6.781055,0.419111883,0.002374781,4.570684188
6.797745,0.254395213,0.002264105,3.057544053
6.814435,0.345298815,0.001884829,4.684799238
6.831155,0.351699004,0.001619582,4.046006876
6.847845,0.259508534,0.001732342,3.189149057
6.864535,0.286693686,0.000985093,3.399937711
6.881255,0.363519694,0.004919078,3.744841081
6.897945,0.203525539,0.003175328,3.418550453
6.914635,0.240805109,0.003471346,2.659431604
6.93135,0.344412511,0.004925211,3.727558154
6.948045,0.346876045,0.005574573,4.944823267
6.964785,0.303377955,0.006407802,3.640590307
6.981505,0.421367121,0.008748691,3.968558742
6.998195,0.365294349,0.012007363,4.026161875
7.014885,0.510394907,0.01077123,3.968221158
7.0316,0.46664281,0.008657736,3.206972248
7.048295,0.38600461,0.008554214,3.643749947
7.06501,0.382483084,0.007084283,3.315399181
7.0817,0.421428294,0.005485985,3.23197104
7.09839,0.206229734,0.00347216,3.451238959
7.11511,0.419285394,0.010275628,4.146846363
7.1318,0.400515108,0.005450321,4.103631628
7.14849,0.459389537,0.002996053,3.402391152
7.16521,0.289280922,0.004168216,3.347759317
7.1819,0.253202736,0.003262632,3.564990592
7.19859,0.370316284,0.003063159,4.646189568
7.21531,0.280435524,0.001909794,3.685852101
7.232,0.325064297,0.006567007,3.395610312
7.24869,0.251431907,0.003387223,3.366149237
7.265405,0.277903412,0.0002978,3.773948014
7.2821,0.255314615,0.003304389,3.032828637
7.29879,0.340370173,0.002105436,4.292380061
7.315505,0.287522067,0.00224241,2.807083108
7.3322,0.187382956,0.001559273,2.644930933
7.34889,0.442002836,0.007384197,4.241014809
7.365655,0.538520995,0.002487475,4.255482427
7.38235,0.294415985,0.000714011,3.197758275
7.39904,0.40812648,0.002184254,3.523351453
7.415755,0.262436098,0.00308324,3.706834224
7.432445,0.339192279,0.007056551,3.91611191
7.44914,0.204277733,0.004563654,4.12612788
7.465855,0.30163204,0.002632869,3.028555205
7.482545,0.279911111,0.00379865,3.484568626
7.499235,0.311323794,0.006545553,4.065732857
7.515955,0.269410065,0.000808315,4.024029631
7.532645,0.415278742,0.003335147,4.567491066
7.549335,0.218379845,0.002842413,3.68349483
7.566055,0.348433775,0.003608715,4.045163418
7.582745,0.304733871,0.003216567,3.267165646
7.599435,0.461099331,0.004224084,4.7244654
7.61615,0.258088886,0.001567748,2.846977381
7.632845,0.253316058,0.000984594,3.397317368
7.64956,0.46011609,0.002350549,4.712150961
7.66625,0.47250152,0.00077723,4.390105922
7.682945,0.347242826,0.001203874,3.673143635
7.69966,0.343409509,0.002163772,2.861336687
7.71635,0.391008361,0.002287782,3.487649874
7.73304,0.27636078,0.004767573,4.247642566
7.74976,0.300252314,0.003688606,3.806725743
7.7665,0.237753765,0.004489757,2.850598024
7.78319,0.238408622,0.003386436,3.907661962
7.79991,0.260614446,0.002177694,3.188784313
7.8166,0.196703809,0.002626054,2.677537795
7.83329,0.292426523,0.005662094,2.762388926
7.85001,0.250461653,0.009566599,2.72935723
7.8667,0.262004885,0.011509047,3.048867471
7.88339,0.320506202,0.010479976,2.742314674
7.90011,0.255277051,0.007807692,3.327212721
7.9168,0.30668258,0.00264342,3.816417913
7.93349,0.338973888,0.006935033,3.067235596
7.950205,0.545979336,0.010233117,3.699616742
7.9669,0.511316108,0.011180359,4.306476795
7.98359,0.558535135,0.007830985,4.485454258
8.000305,0.396685004,0.002991666,3.164062798
8.017,0.345406748,0.003262988,2.652891395
8.03369,0.374190302,0.001116446,3.888325982
8.050405,0.400058937,0.002028398,3.78658019
8.067095,0.606932678,0.002299685,4.888670843
8.08379,0.288300025,0.001720317,3.21261932
8.100505,0.383738194,0.002642534,3.149135457
8.117195,0.365334387,0.001682373,4.537141636
8.133885,0.276856503,0.003954155,3.730768464
8.150605,0.279550912,0.005125799,4.492750877
8.167345,0.300800414,0.000956722,3.239346515
8.184035,0.375465362,0.001250779,3.152191488
8.200755,0.363760311,0.001366435,3.120422022
8.217445,0.338168687,0.002550355,3.142415725
8.234135,0.417463256,0.005466178,3.867204349
8.250855,0.303140587,0.005822247,3.358768521
8.267545,0.34480411,0.001788662,3.528714838
8.284235,0.360419738,0.004572925,3.742277704
8.30095,0.410574605,0.002443043,3.138788442
8.317645,0.350904525,0.004904717,4.393470496
8.33436,0.449924498,0.002750197,3.676255868
8.35105,0.381873417,0.005719185,3.738217288
8.367745,0.595670991,0.00407668,5.141975136
8.38446,0.315707824,0.003190787,3.27638712
8.40115,0.360089291,0.003118608,3.916091986
8.41784,0.367231841,0.003486646,4.019165267
8.43456,0.361637114,0.002744502,3.902171992
8.45125,0.280817988,0.010119195,4.110996155
8.46794,0.260998328,0.001675862,3.113801769
8.48466,0.267423505,0.000713283,4.220530964
8.50135,0.756532345,0.002842955,4.658659649
8.51804,0.332397398,0.002812733,3.179407392
8.534755,0.380581597,0.004194164,3.171064553
8.55145,0.504303641,0.001659134,4.004339945
8.56819,0.381313625,0.001243692,4.058941162
8.58491,0.333412642,0.002275572,3.887695037
8.6016,0.374275264,0.002147489,3.178946837
8.61829,0.359165953,0.005907414,4.303637491
8.635005,0.448224327,0.006469774,3.573776563
8.6517,0.323443787,0.002326429,3.092780119
8.66834,0.536943445,0.005891709,4.180189245
8.685105,0.499435768,0.005547794,3.389662301
8.701795,0.567602328,0.005550538,3.709496268
8.71849,0.428894676,0.00401058,3.228818256
8.735205,0.476318413,0.006965301,3.611296937
8.751895,0.553190256,0.004045399,3.825119168
8.768585,0.609052788,0.004698771,4.142126917
8.785305,0.723029554,0.004980489,4.914037678
8.801995,0.700627424,0.004222611,3.963291309
8.818685,1.070831582,0.007467695,4.988151778
8.835405,0.472077929,0.005473192,2.852153178
8.852095,0.641791457,0.003896094,3.212547747
8.868785,0.830958746,0.008568435,4.392709055
8.885505,0.882173626,0.004865167,4.336409965
8.902195,0.581840458,0.005126054,4.178931606
8.918885,0.749794457,0.005947426,3.762075386
8.9356,0.654562488,0.003155314,3.583350535
8.952295,0.725118123,0.004370543,3.363885663
8.969035,1.056414266,0.004644522,4.95021989
8.98575,0.87594654,0.007111836,4.46665773
9.002445,0.87939231,0.01026452,4.90084856
9.01916,0.645948862,0.004504849,3.912264891
9.03585,0.999589157,0.007508538,3.990857423
9.052545,0.595791422,0.004606665,3.79584993
9.06926,0.777224739,0.006084855,3.286729904
9.08595,0.716975251,0.003437139,3.275164249
9.10264,0.705767202,0.007034169,3.57656103
9.11936,0.751310975,0.00055009,2.835873518
9.13605,1.013702764,0.002196431,3.795057325
9.15274,0.802536042,0.00367875,3.85112657
9.16946,0.676849605,0.001833298,3.32465819
9.18615,0.74455369,0.003121142,3.332086774
9.20284,0.742411257,0.003943143,4.144719446
9.219555,0.441122608,0.00430329,3.540665702
9.23625,0.581621249,0.00430295,3.478890161
9.25294,0.59663116,0.000675959,3.893565833
9.269655,0.567318159,0.004333517,3.435806964
9.28635,0.874365008,0.006353764,3.77134361
9.30304,0.514095661,0.004532691,4.122787989
9.319755,0.533879812,0.005622411,4.634775587
9.336445,0.406996759,0.004736789,3.807332348
9.35314,0.633821336,0.005157234,4.284644251
9.369905,0.440012878,0.002997482,3.323833041
9.386595,0.60290018,0.004460376,4.607509229
9.40329,0.864965867,0.006485294,4.297422054
9.420005,0.967567136,0.005200183,3.918423628
9.436695,0.488919809,0.004734053,2.339057136
9.453385,0.799236481,0.001974428,3.735879288
9.470105,0.991877802,0.002026901,3.827175663
9.486795,0.602373215,0.003241999,4.991472012
9.503485,0.813803922,0.003062917,3.836456706
9.520205,1.017930177,0.004709209,3.927291741
9.536895,0.746720292,0.009542104,3.795707241
9.553585,1.075214321,0.001821574,3.594403709
9.570305,0.81319848,0.00423032,3.520617807
9.586995,1.596497661,0.013641849,5.471709408
9.603685,1.353263468,0.010473901,5.442288724
9.6204,0.652229943,0.003561773,3.067256637
9.637095,1.176262648,0.006287958,3.615527317
9.65381,0.906345231,0.009401712,5.090487218
9.6705,0.993031671,0.009763059,4.807008182
9.68719,0.901070937,0.009101782,4.367087362
9.70391,1.326170416,0.008832446,3.798462735
9.7206,1.114846067,0.010480438,3.357509995
9.73729,0.480954602,0.00571615,2.029078472
9.75401,0.885849069,0.007980962,3.807602074
9.77075,1.252296356,0.005508886,3.493774077
9.78744,1.066074475,0.008568435,4.524904333
9.80416,1.138314203,0.008615796,5.193570599
9.82085,1.307441835,0.003604945,4.336337081
9.83754,0.837282105,0.008141992,3.974695577
9.85426,0.803174918,0.008184371,3.461586182
9.87095,0.880756289,0.004304835,3.188111407
9.88764,1.470688685,0.004680482,3.874473654
9.90436,0.745681447,0.005090547,3.833734535
9.92105,0.768611888,0.003922079,4.285237713
