taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Exotica clathrata	2nd	13.03	6.96	1.78	77.16
Pinguitellina robusta	2nd	9.73	8.26	2.84	145.42
Abranda jeanae	2nd	6.55	4.27	0.98	8.27
Abranda jeanae	1st	16.57	11.58	2.42	160.31
Exotica clathrata	3rd	12.23	6.34	1.58	0.00
Exotica clathrata	3rd	11.91	6.33	1.56	0.00
Exotica clathrata	3rd	12.85	6.74	1.77	0.00
Scissulina dispar	3rd	7.62	4.93	1.12	0.00
Scissulina dispar	3rd	8.94	5.43	1.39	0.00
Scissulina dispar	3rd	9.81	6.26	1.38	0.00
Scissulina dispar	3rd	9.07	5.42	1.24	0.00
Scissulina dispar	3rd	9.64	5.81	1.15	0.00
Scissulina dispar	3rd	7.23	4.53	1.06	0.00
Pinguitellina robusta	3rd	11.20	9.34	2.76	0.00
Pinguitellina robusta	3rd	9.02	7.42	2.15	42.42
Pinguitellina robusta	3rd	8.58	6.94	1.99	33.92
Pinguitellina robusta	3rd	9.04	7.54	2.17	38.52
Pinguitellina robusta	3rd	7.58	6.29	1.76	24.62
Tellinella virgata	3rd	22.27	12.81	2.36	0.00
Exotica virgulata	3rd	6.78	3.46	1.00	0.00
Exotica clathrata	3rd	9.34	4.89	1.32	0.00
Exotica virgulata	3rd	7.91	4.08	1.04	0.00
Abranda jeanae	3rd	11.05	7.60	1.58	0.00
Scissulina dispar	3rd	9.45	5.79	1.23	0.00
Pinguitellina robusta	3rd	9.35	8.28	2.24	0.00
Pinguitellina robusta	3rd	9.77	8.41	2.44	0.00
Abranda jeanae	3rd	5.54	3.51	0.60	0.00
Exotica clathrata	3rd	12.59	6.70	1.75	0.00
Exotica clathrata	3rd	13.25	7.09	1.78	0.00
Exotica clathrata	3rd	9.36	4.82	1.25	0.00
Exotica clathrata	3rd	12.27	6.52	1.60	0.00
Scissulina dispar	3rd	10.39	6.64	1.55	0.00
Pinguitellina robusta	3rd	6.55	5.30	1.45	0.00
Pinguitellina robusta	3rd	10.06	8.23	2.43	0.00
Ambuscintilla praemium	3rd	6.33	4.20	1.14	0.00
Scissulina dispar	3rd	8.45	5.05	1.14	0.00
Scissulina dispar	3rd	8.35	4.91	1.11	0.00
Scissulina dispar	3rd	8.67	5.40	1.23	0.00
Scissulina dispar	3rd	9.05	5.48	1.29	0.00
Exotica clathrata	2nd	13.58	7.35	1.89	0.00
Exotica clathrata	2nd	12.68	6.88	1.71	0.00
Exotica clathrata	2nd	14.48	7.51	1.91	0.00
Exotica clathrata	2nd	13.82	7.20	1.99	0.00
Exotica clathrata	2nd	10.17	5.72	1.56	0.00
Exotica clathrata	2nd	11.72	6.43	1.54	0.00
Exotica clathrata	2nd	6.70	3.66	1.01	0.00
Abranda jeanae	2nd	23.39	16.49	3.32	0.00
Abranda jeanae	2nd	22.88	16.41	3.19	0.00
Pinguitellina robusta	2nd	9.50	7.69	2.57	0.00
Pinguitellina robusta	2nd	7.48	5.95	1.76	0.00
Pinguitellina robusta	2nd	8.80	7.18	2.13	0.00
Pinguitellina robusta	2nd	9.14	7.55	2.24	0.00
Pinguitellina robusta	2nd	9.93	8.12	2.31	0.00
Pinguitellina robusta	2nd	6.37	5.09	1.42	0.00
Pinguitellina robusta	2nd	6.66	5.30	1.52	0.00
Pinguitellina robusta	2nd	6.73	5.34	1.47	0.00
Pinguitellina robusta	2nd	7.86	6.41	1.93	0.00
Pinguitellina robusta	2nd	10.48	8.88	2.67	0.00
Pinguitellina robusta	2nd	11.53	9.65	2.97	0.00
Pinguitellina robusta	2nd	9.63	7.84	2.23	0.00
Tellinella virgata	2nd	56.92	36.19	7.20	0.00
Tellinella virgata	2nd	49.97	26.55	5.81	0.00
Exotica clathrata	2nd	9.07	4.88	1.18	0.00
Exotica clathrata	2nd	11.47	6.35	1.63	0.00
Exotica clathrata	2nd	12.52	6.82	1.81	0.00
Abranda jeanae	2nd	18.83	13.23	2.76	0.00
Abranda jeanae	2nd	19.46	14.81	3.28	0.00
Abranda jeanae	2nd	20.53	14.33	3.17	0.00
Abranda jeanae	2nd	12.02	8.24	1.64	0.00
Abranda jeanae	2nd	12.92	8.85	1.74	0.00
Abranda jeanae	2nd	13.35	9.04	1.75	0.00
Abranda jeanae	2nd	9.70	6.66	1.47	0.00
Abranda jeanae	2nd	9.02	6.18	1.33	0.00
Abranda jeanae	2nd	7.52	5.15	1.12	0.00
Abranda jeanae	2nd	8.51	5.73	1.22	0.00
Pinguitellina robusta	2nd	7.61	6.29	1.72	0.00
Pinguitellina robusta	2nd	10.33	8.84	2.60	0.00
Pinguitellina robusta	2nd	12.05	10.15	2.98	0.00
Pinguitellina robusta	2nd	8.56	7.23	2.09	0.00
Pinguitellina robusta	2nd	8.78	7.48	2.12	0.00
Pinguitellina robusta	2nd	7.82	6.14	1.61	0.00
Pinguitellina robusta	2nd	8.52	7.02	1.99	0.00
Pinguitellina robusta	2nd	8.68	7.19	2.02	0.00
Pinguitellina robusta	2nd	7.18	5.95	1.62	0.00
Pinguitellina robusta	2nd	7.32	6.19	1.72	0.00
Pinguitellina robusta	2nd	7.23	5.99	1.73	0.00
Exotica clathrata	2nd	6.41	3.25	0.74	0.00
Exotica clathrata	2nd	7.16	3.86	1.07	0.00
Exotica clathrata	2nd	6.92	3.56	1.03	0.00
Abranda jeanae	2nd	22.25	15.54	3.17	0.00
Abranda jeanae	2nd	18.20	12.80	2.64	0.00
Abranda jeanae	2nd	21.54	15.62	3.32	0.00
Abranda jeanae	2nd	13.09	9.22	1.77	0.00
Abranda jeanae	2nd	13.13	8.91	1.76	0.00
Abranda jeanae	2nd	12.28	8.41	1.53	0.00
Abranda jeanae	2nd	14.18	9.65	2.04	0.00
Abranda jeanae	2nd	12.40	8.48	1.65	0.00
Abranda jeanae	2nd	11.24	7.65	1.45	0.00
Abranda jeanae	2nd	10.09	7.09	1.30	0.00
Exotica clathrata	2nd	10.58	5.60	1.25	0.00
Exotica clathrata	2nd	9.40	5.18	1.31	0.00
Exotica clathrata	2nd	13.24	6.78	1.67	0.00
Exotica clathrata	2nd	9.37	4.90	1.06	0.00
Scissulina dispar	2nd	12.23	7.64	1.46	0.00
Scissulina dispar	2nd	10.57	6.70	1.33	0.00
Pinguitellina robusta	2nd	7.73	6.30	1.74	0.00
Pinguitellina robusta	2nd	7.06	5.69	1.56	0.00
Pinguitellina robusta	2nd	9.02	7.67	2.14	0.00
Pinguitellina robusta	2nd	6.71	5.59	1.63	0.00
Tellinella virgata	2nd	43.15	25.26	5.01	0.00
Exotica clathrata	2nd	7.46	3.93	1.02	0.00
Exotica clathrata	2nd	11.21	5.94	1.49	0.00
Exotica clathrata	2nd	13.52	7.15	1.79	0.00
Exotica clathrata	2nd	11.98	6.45	1.63	0.00
Exotica clathrata	2nd	12.62	6.81	1.65	0.00
Exotica clathrata	2nd	10.05	5.57	1.40	0.00
Abranda jeanae	2nd	21.66	14.66	3.06	0.00
Abranda jeanae	2nd	21.46	15.52	3.55	0.00
Abranda jeanae	2nd	20.81	14.32	2.99	0.00
Abranda jeanae	2nd	16.33	11.22	2.00	0.00
Abranda jeanae	2nd	11.46	8.07	1.56	0.00
Abranda jeanae	2nd	7.39	4.99	0.95	0.00
Pinguitellina robusta	2nd	6.91	5.83	1.58	0.00
Pinguitellina robusta	2nd	6.51	5.31	1.54	0.00
Pinguitellina robusta	2nd	7.07	5.88	1.71	0.00
Pinguitellina robusta	2nd	7.68	6.27	1.84	0.00
Pinguitellina robusta	2nd	8.96	7.43	2.06	0.00
Pinguitellina robusta	2nd	9.18	7.39	2.11	0.00
Pinguitellina robusta	2nd	7.42	6.23	1.89	0.00
Exotica clathrata	3rd	7.00	3.63	0.98	0.00
Exotica clathrata	3rd	9.35	4.92	1.18	0.00
Exotica clathrata	3rd	10.20	5.44	1.36	0.00
Exotica clathrata	3rd	12.10	6.17	1.70	0.00
Exotica clathrata	3rd	10.22	5.55	1.36	0.00
Exotica clathrata	3rd	10.98	5.74	1.46	0.00
Abranda jeanae	3rd	12.32	8.17	1.71	0.00
Abranda jeanae	3rd	18.80	13.24	2.91	0.00
Pinguitellina robusta	3rd	11.42	9.53	3.02	0.00
Pinguitellina robusta	3rd	8.54	7.04	1.98	0.00
Pinguitellina robusta	3rd	9.92	8.14	2.55	0.00
Pinguitellina robusta	3rd	9.79	8.03	2.28	0.00
Pinguitellina robusta	3rd	7.97	6.81	1.86	0.00
Pinguitellina robusta	3rd	9.39	7.93	2.31	0.00
Pinguitellina robusta	3rd	9.06	7.72	2.25	0.00
Pinguitellina robusta	3rd	9.86	8.34	2.29	0.00
Tellinella virgata	3rd	12.12	7.30	1.54	0.00
Tellinella virgata	3rd	17.61	10.71	2.34	0.00
Abranda jeanae	3rd	12.00	8.00	1.69	0.00
Pinguitellina robusta	3rd	9.54	7.74	2.48	0.00
Pinguitellina robusta	3rd	6.15	5.03	1.34	0.00
Callista phasianella	3rd	9.67	8.18	2.76	0.00
Pinguitellina robusta	3rd	9.40	7.59	2.23	0.00
Pinguitellina robusta	3rd	9.00	7.64	2.21	0.00
Pinguitellina robusta	3rd	8.18	6.57	1.73	0.00
Pinguitellina robusta	3rd	8.89	7.33	2.29	0.00
Pinguitellina robusta	3rd	8.36	6.95	1.88	0.00
Pinguitellina robusta	3rd	7.21	6.05	1.66	0.00
Pinguitellina robusta	3rd	9.12	7.77	2.25	0.00
Pinguitellina robusta	3rd	8.32	6.72	1.93	0.00
Pinguitellina robusta	3rd	7.80	6.36	1.80	0.00
Pinguitellina robusta	3rd	7.97	6.76	1.90	0.00
Pinguitellina robusta	3rd	10.47	8.68	2.62	0.00
Pinguitellina robusta	3rd	9.95	8.60	2.53	0.00
Pinguitellina robusta	3rd	11.51	9.41	2.73	0.00
Pinguitellina robusta	3rd	10.10	8.41	2.42	0.00
Pinguitellina robusta	3rd	8.53	7.19	1.77	0.00
Pinguitellina robusta	3rd	6.83	5.60	1.54	0.00
Pinguitellina robusta	3rd	8.78	7.28	2.04	0.00
Pinguitellina robusta	3rd	6.89	5.57	1.55	0.00
Pinguitellina robusta	3rd	6.51	5.27	1.26	0.00
Abranda jeanae	3rd	14.60	10.27	2.05	0.00
Abranda jeanae	3rd	16.04	11.00	2.42	0.00
Exotica clathrata	3rd	8.23	4.51	1.13	0.00
Exotica clathrata	3rd	8.93	4.86	1.22	0.00
Exotica clathrata	3rd	5.63	3.09	0.83	0.00
Exotica clathrata	3rd	7.28	3.78	1.12	0.00
Tellinella virgata	3rd	19.45	10.97	2.08	0.00
Exotica clathrata	3rd	8.06	4.33	1.03	0.00
Exotica clathrata	3rd	10.49	5.61	1.36	0.00
Exotica clathrata	3rd	11.60	6.14	1.53	0.00
Pinguitellina robusta	3rd	9.36	7.79	2.18	0.00
Pinguitellina robusta	3rd	11.99	10.07	2.86	0.00
Abranda jeanae	3rd	15.81	11.12	2.11	0.00
Abranda jeanae	3rd	14.79	10.47	2.10	0.00
Abranda jeanae	3rd	9.37	6.17	1.27	0.00
Scissulina dispar	3rd	7.99	4.99	1.01	0.00
Pinguitellina robusta	3rd	6.22	4.88	1.28	0.00
Exotica clathrata	3rd	12.03	6.46	1.76	0.00
Tellinella virgata	3rd	16.61	9.75	1.91	0.00
Tellinella virgata	3rd	17.14	10.38	1.98	0.00
Pinguitellina robusta	3rd	10.68	8.99	2.65	0.00
Pinguitellina robusta	3rd	8.93	7.20	2.04	0.00
Pinguitellina robusta	3rd	9.71	8.01	2.28	0.00
Pinguitellina robusta	3rd	8.46	7.16	2.15	0.00
Pinguitellina robusta	3rd	7.53	6.13	1.66	0.00
Pinguitellina robusta	3rd	9.04	7.35	2.16	0.00
Pinguitellina robusta	3rd	7.21	5.83	1.59	0.00
Pinguitellina robusta	3rd	6.68	5.35	1.37	0.00
Abranda jeanae	3rd	15.29	10.51	2.19	0.00
Exotica clathrata	3rd	13.99	7.41	1.95	0.00
Exotica clathrata	3rd	10.78	5.90	1.35	0.00
Scissulina dispar	3rd	9.92	6.20	1.23	0.00
Scissulina dispar	3rd	10.14	6.22	1.19	0.00
Scissulina dispar	3rd	6.64	3.99	0.80	0.00
Exotica clathrata	1st	10.87	5.75	1.45	37.00
Exotica clathrata	1st	11.05	6.24	1.61	40.00
Exotica clathrata	1st	11.34	6.09	1.40	42.00
Exotica clathrata	1st	12.05	6.70	1.64	56.00
Exotica clathrata	1st	11.19	6.49	1.45	42.00
Exotica clathrata	1st	12.45	6.78	1.70	57.00
Exotica clathrata	1st	11.97	6.41	1.61	52.00
Abranda jeanae	1st	18.33	12.89	2.80	280.00
Abranda jeanae	1st	22.87	16.01	3.11	491.00
Abranda jeanae	1st	21.84	15.47	2.98	417.00
Abranda jeanae	1st	21.66	15.21	2.82	364.00
Abranda jeanae	1st	11.57	7.98	1.55	43.00
Abranda jeanae	1st	10.71	7.24	1.26	33.00
Abranda jeanae	1st	9.27	6.30	1.27	20.00
Abranda jeanae	1st	8.63	5.96	1.13	17.00
Abranda jeanae	1st	21.44	16.43	2.30	160.00
Pinguitellina robusta	1st	8.75	7.25	1.85	82.00
Fragum fragum	1st	6.76	7.34	2.58	71.00
Exotica clathrata	1st	11.26	5.83	1.42	37.00
Exotica clathrata	1st	11.80	6.42	1.54	54.00
Exotica clathrata	1st	11.98	6.77	1.59	53.00
Abranda jeanae	1st	21.51	14.50	3.02	433.00
Abranda jeanae	1st	21.53	14.79	3.07	355.00
Abranda jeanae	1st	19.68	13.82	2.58	313.00
Abranda jeanae	1st	14.91	10.89	2.16	123.00
Abranda jeanae	1st	15.84	11.17	2.08	145.00
Abranda jeanae	1st	13.15	8.97	1.82	61.00
Abranda jeanae	1st	9.84	6.64	1.40	28.00
Abranda jeanae	1st	8.18	5.74	1.37	15.00
Abranda jeanae	1st	9.22	6.03	1.04	20.00
Abranda jeanae	1st	7.35	4.98	0.90	10.00
Exotica clathrata	1st	11.00	6.29	1.55	48.00
Exotica clathrata	1st	11.78	6.20	1.67	51.00
Exotica clathrata	1st	9.50	5.25	1.39	24.00
Exotica clathrata	1st	11.13	6.14	1.40	40.00
Pinguitellina robusta	1st	9.46	7.88	2.38	95.00
Pinguitellina robusta	1st	7.02	6.14	1.58	47.00
Scissulina dispar	1st	8.61	5.25	1.35	20.00
Tellinella virgata	1st	20.64	12.12	2.15	248.00
Abranda jeanae	1st	19.48	13.96	2.92	327.00
Abranda jeanae	1st	24.48	17.70	3.84	672.00
Abranda jeanae	1st	21.30	14.89	3.06	499.00
Abranda jeanae	1st	11.21	7.83	1.40	39.00
Abranda jeanae	1st	10.76	7.31	1.48	36.00
Abranda jeanae	1st	9.47	6.46	1.29	25.00
Abranda jeanae	1st	9.75	6.70	1.27	27.00
Abranda jeanae	1st	8.54	5.96	1.01	15.00
Abranda jeanae	1st	15.77	10.69	2.15	140.00
Abranda jeanae	1st	22.01	15.26	3.40	476.00
Abranda jeanae	1st	10.21	6.81	1.26	27.00
Abranda jeanae	1st	7.77	4.93	1.04	11.00
Exotica clathrata	1st	9.64	5.64	1.63	27.00
Tellinella virgata	1st	23.93	13.58	2.81	313.00
Abranda jeanae	1st	20.91	14.91	2.89	336.00
Abranda jeanae	1st	18.96	13.75	2.83	282.00
Abranda jeanae	1st	19.13	14.06	3.02	284.00
Abranda jeanae	1st	19.47	14.16	2.81	323.00
Abranda jeanae	1st	11.75	8.17	2.12	52.00
Abranda jeanae	1st	12.63	8.55	1.45	57.00
Abranda jeanae	1st	13.85	9.43	1.93	74.00
Abranda jeanae	1st	13.04	8.43	1.76	63.00
Abranda jeanae	1st	11.56	8.05	1.53	51.00
Abranda jeanae	1st	12.45	8.60	1.73	55.00
Abranda jeanae	1st	12.62	8.83	1.68	64.00
Abranda jeanae	1st	16.87	12.28	2.63	197.00
Abranda jeanae	1st	9.35	6.50	1.31	22.00
Abranda jeanae	1st	10.85	7.32	1.50	38.00
Abranda jeanae	1st	13.11	8.34	1.79	70.00
Abranda jeanae	1st	12.35	8.42	1.66	55.52
Abranda jeanae	1st	10.68	7.32	1.41	33.00
Abranda jeanae	1st	14.02	9.94	1.97	93.00
Abranda jeanae	1st	11.48	7.92	1.58	45.00
Abranda jeanae	1st	12.85	8.70	1.64	60.00
Abranda jeanae	1st	8.74	5.38	1.20	19.00
Abranda jeanae	1st	9.46	6.34	1.30	23.00
Abranda jeanae	1st	7.35	4.68	1.00	9.00
Abranda jeanae	1st	7.72	5.45	0.95	11.00
Abranda jeanae	1st	7.16	4.83	1.02	11.00
Abranda jeanae	1st	9.51	6.31	1.29	22.00
Abranda jeanae	1st	10.15	6.56	1.68	23.00
Scissulina dispar	1st	12.88	7.51	1.66	70.00
Scissulina dispar	1st	7.96	5.50	1.24	21.00
Pinguitellina robusta	1st	9.98	7.63	2.19	116.00
Pinguitellina robusta	1st	10.06	8.53	2.22	124.00
Pinguitellina robusta	1st	13.06	10.90	2.85	254.58
Pinguitellina robusta	1st	12.68	10.40	3.09	207.00
Pinguitellina robusta	1st	10.28	8.15	2.38	129.00
Pinguitellina robusta	1st	9.07	7.38	2.13	98.00
Pinguitellina robusta	1st	9.12	7.35	2.37	96.00
Pinguitellina robusta	1st	8.29	7.19	2.04	87.00
Pinguitellina robusta	1st	8.56	7.13	2.07	92.00
Pinguitellina robusta	1st	9.18	7.97	2.08	105.00
Pinguitellina robusta	1st	8.23	6.80	1.81	80.00
Pinguitellina robusta	1st	9.54	7.97	2.23	127.00
Pinguitellina robusta	1st	7.91	6.54	1.73	29.92
Exotica clathrata	1st	11.16	6.53	1.63	57.00
Exotica clathrata	1st	9.21	5.38	1.02	23.00
Exotica clathrata	1st	9.05	4.64	1.43	24.00
Exotica clathrata	1st	9.89	4.88	1.31	33.00
Exotica clathrata	1st	7.61	4.16	1.14	13.00
Exotica clathrata	1st	9.32	4.88	1.26	26.00
Exotica clathrata	1st	8.67	5.14	1.09	14.97
Exotica clathrata	1st	10.08	5.71	1.29	30.00
Exotica clathrata	1st	9.36	5.45	1.29	27.00
Exotica clathrata	1st	15.96	8.90	2.41	167.00
Exotica clathrata	1st	18.28	9.94	2.81	251.00
Exotica clathrata	1st	14.37	8.53	1.97	118.00
Exotica clathrata	1st	12.58	7.28	1.86	35.62
Exotica clathrata	1st	13.07	7.10	1.76	79.00
Exotica clathrata	1st	8.94	4.99	1.24	20.54
Exotica clathrata	1st	9.46	4.97	1.27	22.00
Pinguitellina robusta	1st	6.21	5.07	1.42	34.00
Pinguitellina robusta	1st	7.00	5.45	1.56	37.00
Pinguitellina robusta	1st	7.27	6.01	1.66	48.74
Pinguitellina robusta	1st	11.56	9.80	2.49	187.00
Pinguitellina robusta	1st	6.94	5.51	1.46	43.00
Pinguitellina robusta	1st	9.03	7.29	1.77	90.59
Pinguitellina robusta	1st	9.50	7.74	2.14	111.63
Abranda jeanae	1st	17.10	12.00	2.51	188.00
Abranda jeanae	1st	15.87	11.29	2.50	174.00
Abranda jeanae	1st	18.25	12.79	2.44	200.00
Abranda jeanae	1st	12.10	8.86	1.73	58.00
Abranda jeanae	1st	11.94	8.05	1.74	56.00
Abranda jeanae	1st	10.83	7.24	1.39	37.00
Abranda jeanae	1st	10.86	7.26	1.50	34.00
Abranda jeanae	1st	12.47	9.06	1.78	66.00
Abranda jeanae	1st	11.73	8.13	1.76	42.00
Abranda jeanae	1st	16.31	11.47	2.27	148.00
Abranda jeanae	1st	12.85	8.64	1.68	57.00
Abranda jeanae	1st	16.22	11.65	2.13	161.00
Abranda jeanae	1st	16.02	10.94	2.39	148.00
Abranda jeanae	1st	9.71	6.76	1.38	25.00
Abranda jeanae	1st	9.18	6.52	1.35	24.00
Abranda jeanae	1st	9.78	6.78	1.50	29.00
Abranda jeanae	1st	10.36	7.03	1.44	30.00
Abranda jeanae	1st	10.69	6.48	1.16	31.00
Abranda jeanae	1st	10.08	7.54	1.43	16.00
Abranda jeanae	1st	9.79	7.07	1.48	36.00
Abranda jeanae	1st	8.15	6.36	1.20	19.00
Abranda jeanae	1st	11.14	7.18	1.48	32.00
Abranda jeanae	1st	9.07	6.34	1.21	18.00
Abranda jeanae	1st	7.35	5.23	0.96	11.00
Abranda jeanae	1st	9.54	6.69	1.30	27.00
Abranda jeanae	1st	6.73	4.21	0.89	8.00
Abranda jeanae	1st	7.10	5.30	1.03	11.00
Abranda jeanae	1st	6.74	5.11	1.02	11.00
Abranda jeanae	1st	8.06	5.31	1.19	14.00
Abranda jeanae	1st	10.27	7.17	0.85	28.00
Abranda jeanae	1st	9.20	6.50	1.28	24.00
Abranda jeanae	1st	11.15	8.48	1.75	36.00
Abranda jeanae	1st	10.47	7.39	1.38	32.00
Abranda jeanae	1st	8.22	5.14	1.26	14.00
Abranda jeanae	1st	10.14	6.85	1.34	27.00
Abranda jeanae	1st	9.14	6.46	1.19	22.00
Abranda jeanae	1st	10.43	7.43	1.52	38.00
Abranda jeanae	1st	8.70	6.23	0.38	20.00
Abranda jeanae	1st	10.03	7.43	1.69	27.00
Abranda jeanae	1st	11.03	7.79	1.80	38.00
Abranda jeanae	1st	10.22	7.16	1.17	32.00
Abranda jeanae	1st	7.97	4.48	1.01	12.00
Abranda jeanae	1st	6.63	4.21	0.63	5.00
Abranda jeanae	1st	6.66	7.37	1.29	12.00
Abranda jeanae	1st	9.14	6.40	1.37	15.00
Tellinella virgata	1st	17.64	7.22	1.29	199.00
Dosinia amphidesmoides	1st	15.58	14.61	3.47	359.00
Abranda jeanae	1st	10.83	7.68	1.51	38.00
Abranda jeanae	1st	9.28	6.88	1.29	22.00
Abranda jeanae	1st	12.13	7.98	1.35	45.00
Abranda jeanae	1st	12.13	8.65	1.68	47.00
Abranda jeanae	1st	8.56	5.95	1.06	15.00
Abranda jeanae	1st	10.45	8.06	1.47	35.00
Abranda jeanae	1st	10.66	7.23	1.53	44.00
Abranda jeanae	1st	13.03	8.63	1.65	61.00
Abranda jeanae	1st	10.05	7.17	1.31	18.00
Abranda jeanae	1st	8.31	6.19	1.35	17.00
Abranda jeanae	1st	11.32	7.16	1.09	35.00
Abranda jeanae	1st	12.84	8.71	1.45	62.00
Abranda jeanae	1st	10.25	6.77	1.19	23.00
Abranda jeanae	1st	15.82	11.20	2.35	139.00
Abranda jeanae	1st	14.14	9.92	1.89	80.00
Abranda jeanae	1st	8.29	5.54	0.94	14.00
Abranda jeanae	1st	7.56	5.46	0.93	12.00
Abranda jeanae	1st	10.29	5.94	1.53	26.00
Abranda jeanae	1st	9.60	7.02	1.10	27.00
Abranda jeanae	1st	10.70	6.61	1.46	32.00
Abranda jeanae	1st	8.27	5.41	1.18	16.00
Abranda jeanae	1st	5.59	4.01	0.71	6.00
Abranda jeanae	1st	9.39	6.44	1.27	22.00
Abranda jeanae	1st	5.98	4.76	0.87	6.00
Abranda jeanae	1st	5.81	4.28	0.68	6.00
Abranda jeanae	1st	9.40	6.80	1.12	11.00
Abranda jeanae	1st	7.30	5.07	0.92	6.00
Abranda jeanae	1st	8.94	5.94	1.19	19.00
Abranda jeanae	1st	11.53	8.22	1.63	28.00
Exotica clathrata	1st	9.09	5.13	1.13	18.00
Abranda jeanae	1st	16.38	11.39	2.44	143.00
Abranda jeanae	1st	17.58	12.49	2.60	196.00
Abranda jeanae	1st	18.00	12.73	2.35	214.00
Abranda jeanae	1st	15.45	10.27	1.77	119.00
Abranda jeanae	1st	12.06	8.34	1.78	43.00
Abranda jeanae	1st	14.23	10.07	2.09	97.00
Abranda jeanae	1st	9.79	6.67	1.23	27.00
Abranda jeanae	1st	7.51	5.22	0.96	12.00
Abranda jeanae	1st	12.17	8.38	1.45	51.00
Abranda jeanae	1st	8.68	5.67	0.97	15.00
Abranda jeanae	1st	12.08	8.33	1.51	51.00
Abranda jeanae	1st	7.64	4.53	0.95	12.00
Abranda jeanae	1st	8.67	5.94	1.16	18.00
Abranda jeanae	1st	9.57	6.48	1.35	22.00
Abranda jeanae	1st	7.81	5.45	1.11	13.00
Abranda jeanae	1st	8.64	6.26	1.13	17.00
Abranda jeanae	1st	8.82	6.21	1.06	18.00
Abranda jeanae	1st	9.86	7.02	1.36	27.00
Abranda jeanae	1st	7.56	4.98	1.04	10.00
Abranda jeanae	1st	8.17	5.46	1.16	15.00
Abranda jeanae	1st	7.46	5.11	0.97	11.00
Abranda jeanae	1st	8.06	5.45	1.10	13.00
Abranda jeanae	1st	8.45	5.58	1.06	14.00
Abranda jeanae	1st	8.56	5.85	1.13	16.00
Abranda jeanae	1st	10.16	6.75	1.29	25.00
Abranda jeanae	1st	8.74	6.12	1.19	16.00
Abranda jeanae	1st	8.10	5.49	1.01	13.00
Abranda jeanae	1st	7.38	4.82	0.77	10.00
Abranda jeanae	1st	7.13	4.32	0.90	8.00
Abranda jeanae	1st	6.64	4.29	0.92	8.00
Abranda jeanae	1st	7.84	5.14	0.84	11.00
Abranda jeanae	1st	7.34	9.60	1.00	9.00
Abranda jeanae	1st	9.76	6.43	1.63	22.00
Abranda jeanae	1st	7.29	5.29	0.97	10.00
Abranda jeanae	1st	9.28	5.83	1.36	19.00
Abranda jeanae	1st	9.29	6.22	1.02	20.00
Abranda jeanae	1st	7.32	4.92	1.05	12.00
Abranda jeanae	1st	9.40	6.23	1.13	21.00
Abranda jeanae	1st	10.91	7.49	1.48	33.00
Abranda jeanae	1st	8.87	5.66	1.26	20.00
Abranda jeanae	1st	8.37	5.70	0.96	14.00
Abranda jeanae	1st	8.37	5.68	1.24	16.00
Abranda jeanae	1st	11.64	7.82	1.47	46.00
Abranda jeanae	1st	10.02	6.79	1.34	26.00
Abranda jeanae	1st	9.50	6.39	1.22	25.00
Abranda jeanae	1st	9.61	6.54	1.36	25.00
Abranda jeanae	1st	10.53	7.15	1.20	30.00
Abranda jeanae	1st	8.80	5.84	1.11	19.00
Abranda jeanae	1st	6.57	4.57	1.13	8.00
Abranda jeanae	1st	8.58	5.92	1.14	17.00
Abranda jeanae	1st	8.70	5.30	1.34	20.00
Abranda jeanae	1st	7.91	5.23	1.13	12.00
Abranda jeanae	1st	8.92	5.52	1.53	14.00
Abranda jeanae	1st	13.34	9.64	2.09	75.00
Abranda jeanae	1st	6.10	4.14	0.83	6.00
Abranda jeanae	1st	8.16	5.33	1.24	11.00
Abranda jeanae	1st	18.49	13.89	2.60	123.00
Abranda jeanae	1st	8.46	7.46	1.88	30.00
Pinguitellina robusta	1st	8.88	7.03	2.01	90.00
Pinguitellina robusta	1st	8.75	6.70	2.00	81.00
Pinguitellina robusta	1st	8.30	6.59	1.80	63.00
Pinguitellina robusta	1st	8.05	6.66	1.78	62.00
Pinguitellina robusta	1st	8.80	7.04	1.90	72.00
Pinguitellina robusta	1st	8.35	7.00	2.01	71.00
Pinguitellina robusta	1st	9.14	7.63	2.03	86.00
Pinguitellina robusta	1st	8.86	7.42	2.01	85.00
Pinguitellina robusta	1st	8.81	7.09	1.97	80.00
Pinguitellina robusta	1st	9.00	7.14	1.85	84.00
Pinguitellina robusta	1st	8.90	7.65	1.90	81.00
Pinguitellina robusta	1st	7.47	5.53	1.46	43.00
Pinguitellina robusta	1st	8.42	7.08	2.06	87.00
Exotica clathrata	1st	8.56	4.43	1.14	17.00
Exotica clathrata	1st	10.05	5.61	1.32	24.00
Scissulina dispar	1st	8.91	5.25	1.23	21.00
Exotica clathrata	1st	9.12	4.88	1.17	17.00
Abranda jeanae	1st	11.25	7.14	1.58	38.00
Abranda jeanae	1st	11.57	7.35	1.46	39.00
Abranda jeanae	1st	9.65	6.21	1.09	23.00
Abranda jeanae	1st	13.56	9.23	1.83	64.00
Abranda jeanae	1st	7.53	5.16	1.12	10.00
Abranda jeanae	1st	9.21	6.09	1.26	21.00
Abranda jeanae	1st	11.37	7.51	1.56	36.00
Abranda jeanae	1st	10.30	6.88	1.24	30.00
