taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Exotica clathrata	3rd	11.15	6.00	1.44	34.73
Exotica clathrata	3rd	9.79	5.48	1.27	22.87
Exotica clathrata	3rd	10.71	5.81	1.42	37.80
Exotica clathrata	3rd	13.39	6.70	1.69	58.07
Exotica clathrata	3rd	10.17	5.44	1.30	24.77
Exotica clathrata	3rd	12.33	6.44	1.61	41.39
Exotica clathrata	3rd	11.04	6.13	1.48	38.99
Exotica clathrata	3rd	11.46	6.34	1.53	43.41
Exotica clathrata	3rd	12.17	6.88	1.58	54.53
Exotica clathrata	3rd	10.19	5.47	1.31	27.42
Exotica clathrata	3rd	8.70	4.95	1.18	15.56
Pinguitellina robusta	3rd	9.53	7.78	2.17	74.74
Abranda jeanae	3rd	6.50	4.47	0.90	7.17
Tellinella virgata	3rd	8.47	5.06	1.14	14.39
Exotica clathrata	3rd	8.77	5.04	1.22	16.74
Scissulina dispar	3rd	12.44	8.07	1.75	60.06
Exotica clathrata	3rd	9.25	5.15	1.20	17.85
Exotica clathrata	3rd	9.33	4.91	1.19	19.39
Exotica clathrata	3rd	10.69	5.58	1.46	30.80
Exotica clathrata	3rd	11.19	6.03	1.49	34.95
Exotica clathrata	3rd	10.80	5.93	1.59	31.65
Exotica clathrata	3rd	8.79	5.03	1.15	15.86
Exotica clathrata	3rd	10.13	5.61	1.34	29.71
Exotica clathrata	3rd	9.08	5.11	1.24	15.87
Exotica clathrata	3rd	8.70	4.84	1.06	12.65
Exotica clathrata	3rd	8.18	4.62	1.07	11.79
Exotica clathrata	3rd	11.77	6.45	1.61	44.17
Fragum fragum	3rd	7.09	6.80	2.46	61.31
Exotica clathrata	3rd	10.41	5.38	1.36	23.22
Exotica clathrata	3rd	12.52	6.63	1.61	47.10
Exotica clathrata	3rd	12.09	6.58	1.63	42.63
Exotica clathrata	3rd	10.91	6.17	1.50	37.58
Exotica clathrata	3rd	10.69	5.98	1.44	33.81
Exotica clathrata	3rd	10.79	5.75	1.39	28.35
Exotica clathrata	3rd	9.35	4.98	1.21	19.11
Exotica clathrata	3rd	9.87	5.55	1.31	24.25
Exotica clathrata	3rd	10.02	5.72	1.22	19.20
Exotica clathrata	3rd	6.11	3.26	0.80	4.73
Pinguitellina robusta	3rd	8.29	6.96	1.97	56.99
Pinguitellina robusta	3rd	10.66	8.79	2.70	134.07
Pinguitellina robusta	3rd	10.22	8.38	2.44	102.11
Exotica clathrata	3rd	9.52	5.25	1.22	20.68
Exotica clathrata	3rd	10.20	5.59	1.26	24.40
Exotica clathrata	3rd	12.53	6.46	1.66	53.31
Exotica clathrata	3rd	7.81	4.23	0.96	10.25
Exotica clathrata	3rd	6.91	3.71	1.00	9.00
Tellinella virgata	3rd	11.72	6.70	1.47	31.66
Exotica virgulata	3rd	8.39	4.50	1.07	16.86
Fragum fragum	3rd	6.67	5.81	2.21	38.82
Pinguitellina robusta	3rd	9.44	7.84	1.94	83.09
Pinguitellina robusta	3rd	10.83	8.90	2.62	115.72
Pinguitellina robusta	3rd	10.56	8.37	2.59	128.20
Pinguitellina robusta	3rd	10.79	8.57	2.46	119.20
Pinguitellina robusta	3rd	10.77	8.95	2.52	110.52
Tellinella virgata	3rd	8.82	5.14	1.12	15.44
Exotica clathrata	3rd	10.18	5.63	1.44	28.74
Exotica clathrata	3rd	8.58	4.47	1.15	13.25
Exotica virgulata	3rd	6.06	3.43	0.63	2.08
Exotica clathrata	3rd	7.87	4.54	1.24	14.52
Exotica clathrata	3rd	7.35	3.99	1.09	10.81
Exotica clathrata	3rd	7.81	4.12	1.17	12.65
Pinguitellina robusta	3rd	10.40	8.45	2.49	118.78
Pinguitellina robusta	3rd	10.18	8.26	2.51	107.89
Pinguitellina robusta	3rd	10.19	8.79	2.48	115.64
Pinguitellina robusta	3rd	10.41	8.60	2.57	124.54
Exotica clathrata	3rd	7.88	4.19	1.09	10.55
Exotica clathrata	3rd	10.60	5.54	1.41	31.25
Exotica clathrata	3rd	9.83	5.11	1.31	23.75
Exotica clathrata	3rd	6.51	3.71	1.05	6.38
Tellinella virgata	3rd	9.35	5.60	1.22	18.54
Exotica virgulata	3rd	5.85	3.36	0.81	7.41
Pinguitellina robusta	3rd	9.96	7.83	2.24	111.94
Pinguitellina robusta	3rd	9.85	8.16	2.36	108.74
Pinguitellina robusta	3rd	9.89	8.30	2.26	105.82
Pinguitellina robusta	3rd	9.55	7.89	2.37	99.48
Pinguitellina robusta	3rd	7.59	6.29	1.73	43.31
Pinguitellina robusta	3rd	9.72	7.63	2.34	92.32
Pinguitellina robusta	3rd	7.29	5.64	1.66	41.83
Pinguitellina robusta	3rd	10.02	8.07	2.50	95.98
Pinguitellina robusta	3rd	9.30	7.51	1.81	75.51
Exotica clathrata	3rd	5.54	3.05	0.65	3.43
Exotica clathrata	3rd	10.86	5.79	1.56	35.47
Exotica clathrata	3rd	9.78	5.22	1.22	21.77
Exotica clathrata	3rd	10.78	6.06	1.49	32.71
Exotica clathrata	3rd	10.61	5.98	1.44	32.03
Exotica clathrata	3rd	10.43	5.63	1.50	25.00
Scissulina dispar	3rd	8.68	5.15	1.13	16.55
Exotica clathrata	3rd	11.41	6.22	1.61	39.79
Exotica clathrata	3rd	7.37	4.00	0.99	9.22
Exotica clathrata	3rd	10.43	5.63	1.42	31.05
Exotica clathrata	3rd	11.15	5.99	1.37	33.72
Exotica clathrata	3rd	10.10	5.52	1.45	25.94
Exotica virgulata	3rd	7.51	4.08	1.08	16.21
Abranda jeanae	1st	19.89	14.33	3.27	365.15
Abranda jeanae	1st	19.38	13.52	2.79	270.27
Abranda jeanae	1st	15.34	11.21	2.31	130.90
Abranda jeanae	1st	16.18	11.43	2.27	132.91
Abranda jeanae	1st	12.63	8.62	1.69	59.80
Abranda jeanae	1st	17.01	11.79	2.61	165.17
Abranda jeanae	1st	17.78	12.51	2.65	196.73
Abranda jeanae	1st	15.56	11.13	2.30	134.87
Abranda jeanae	1st	15.60	10.75	2.27	117.22
Abranda jeanae	1st	16.94	11.91	2.43	164.43
Abranda jeanae	1st	11.35	7.89	1.47	39.94
Abranda jeanae	1st	19.01	13.38	3.03	274.51
Pinguitellina robusta	1st	12.77	10.56	3.54	297.15
Pinguitellina robusta	1st	8.04	6.55	1.96	70.46
Pinguitellina robusta	1st	11.35	10.05	2.79	160.14
Pinguitellina robusta	1st	6.30	5.14	1.38	32.65
Exotica clathrata	1st	10.53	5.83	1.49	45.72
Exotica clathrata	1st	10.52	5.75	1.62	35.99
Scissulina dispar	1st	12.67	7.94	1.81	60.06
Exotica clathrata	1st	8.53	4.59	1.15	14.48
Exotica clathrata	1st	6.88	3.96	1.03	10.90
Abranda jeanae	1st	5.46	3.72	0.84	4.41
Ambuscintilla praemium	1st	6.62	4.48	1.14	6.03
Ambuscintilla praemium	1st	5.29	3.83	0.99	3.67
Abranda jeanae	1st	18.16	12.85	2.79	232.38
Abranda jeanae	1st	20.21	14.38	3.32	345.38
Abranda jeanae	1st	19.22	13.43	2.83	253.71
Abranda jeanae	1st	15.67	10.84	2.29	110.35
Abranda jeanae	1st	18.83	12.75	2.81	216.55
Abranda jeanae	1st	18.41	13.08	2.72	209.40
Abranda jeanae	1st	18.59	13.12	2.76	234.20
Abranda jeanae	1st	18.02	12.98	2.79	231.96
Abranda jeanae	1st	20.10	14.29	2.89	267.73
Abranda jeanae	1st	11.34	7.63	1.55	39.65
Abranda jeanae	1st	18.71	13.10	2.70	200.76
Abranda jeanae	1st	17.48	12.08	2.54	149.77
Abranda jeanae	1st	10.34	7.23	1.48	28.44
Abranda jeanae	1st	13.02	8.91	1.86	63.74
Abranda jeanae	1st	8.52	5.68	1.07	14.47
Abranda jeanae	1st	7.88	5.16	1.30	12.61
Abranda jeanae	1st	6.17	4.07	0.83	3.60
Exotica clathrata	1st	10.16	5.70	1.44	30.53
Exotica clathrata	1st	11.41	6.25	1.63	46.09
Fragum fragum	1st	10.41	9.94	3.73	174.10
Pinguitellina robusta	1st	12.03	9.99	3.21	215.22
Abranda jeanae	1st	15.55	10.44	2.47	125.18
Abranda jeanae	1st	18.12	13.21	2.96	231.90
Abranda jeanae	1st	15.53	10.48	2.22	107.82
Abranda jeanae	1st	16.33	10.94	2.47	133.53
Abranda jeanae	1st	16.37	11.48	2.55	155.64
Abranda jeanae	1st	18.11	12.56	2.74	193.43
Abranda jeanae	1st	16.73	11.51	2.57	177.46
Abranda jeanae	1st	14.45	10.00	2.24	96.02
Abranda jeanae	1st	8.26	5.44	1.21	15.76
Abranda jeanae	1st	7.61	5.31	1.13	10.60
Pinguitellina robusta	1st	9.51	8.26	2.36	102.27
Pinguitellina robusta	1st	9.65	8.14	2.15	106.03
Exotica clathrata	1st	12.64	7.00	1.58	50.42
Abranda jeanae	1st	17.98	12.48	2.62	202.23
Abranda jeanae	1st	11.43	7.83	1.68	41.09
Abranda jeanae	1st	13.73	9.53	2.14	79.42
Abranda jeanae	1st	12.07	8.16	1.77	44.97
Abranda jeanae	1st	8.72	5.92	1.28	16.95
Abranda jeanae	1st	10.06	6.91	1.51	27.12
Abranda jeanae	1st	12.32	8.35	1.79	49.55
